address_id	address	address2	district	city_id	postal_code	phone	_valid_from
81	1692 Ede Loop	\N	 	30	9223	 	2006-02-15 04:45:30
600	1837 Kaduna Parkway	\N	 	241	82580	 	2006-02-15 04:45:30
144	1666 Beni-Mellal Place	\N	 	123	13377	 	2006-02-15 04:45:30
488	698 Jelets Boulevard	\N	 	142	2596	 	2006-02-15 04:45:30
399	331 Bydgoszcz Parkway	\N	 	181	966	 	2006-02-15 04:45:30
149	999 Sanaa Loop	\N	 	491	3439	 	2006-02-15 04:45:30
135	1752 So Leopoldo Parkway	\N	 	345	14014	 	2006-02-15 04:45:30
311	715 So Bernardo do Campo Lane	\N	 	507	84804	 	2006-02-15 04:45:30
489	1297 Alvorada Parkway	\N	 	587	11839	 	2006-02-15 04:45:30
115	1378 Alvorada Avenue	\N	 	102	75834	 	2006-02-15 04:45:30
367	1163 London Parkway	\N	 	66	6066	 	2006-02-15 04:45:30
355	469 Nakhon Sawan Street	\N	 	531	58866	 	2006-02-15 04:45:30
189	927 Barcelona Street	\N	 	467	65121	 	2006-02-15 04:45:30
479	1854 Okara Boulevard	\N	 	158	42123	 	2006-02-15 04:45:30
126	1175 Tanauan Way	\N	 	305	64615	 	2006-02-15 04:45:30
509	786 Matsue Way	\N	 	245	37469	 	2006-02-15 04:45:30
332	663 Baha Blanca Parkway	\N	 	5	33463	 	2006-02-15 04:45:30
61	943 Tokat Street	\N	 	560	45428	 	2006-02-15 04:45:30
407	1346 Mysore Drive	\N	 	92	61507	 	2006-02-15 04:45:30
116	793 Cam Ranh Avenue	\N	 	292	87057	 	2006-02-15 04:45:30
45	42 Brindisi Place	\N	 	586	16744	 	2006-02-15 04:45:30
553	1421 Quilmes Lane	\N	 	260	19151	 	2006-02-15 04:45:30
231	430 Alessandria Loop	\N	 	439	47446	 	2006-02-15 04:45:30
228	60 Poos de Caldas Street	\N	 	243	82338	 	2006-02-15 04:45:30
572	539 Hami Way	\N	 	538	52196	 	2006-02-15 04:45:30
508	496 Celaya Drive	\N	 	552	90797	 	2006-02-15 04:45:30
568	1342 Sharja Way	\N	 	488	93655	 	2006-02-15 04:45:30
513	758 Korolev Parkway	\N	 	568	75474	 	2006-02-15 04:45:30
273	1519 Ilorin Place	\N	 	395	49298	 	2006-02-15 04:45:30
5	1913 Hanoi Way	\N	 	463	35200	 	2006-02-15 04:45:30
569	1342 Abha Boulevard	\N	 	95	10714	 	2006-02-15 04:45:30
478	1078 Stara Zagora Drive	\N	 	301	69221	 	2006-02-15 04:45:30
599	1895 Zhezqazghan Drive	\N	 	177	36693	 	2006-02-15 04:45:30
263	532 Toulon Street	\N	 	460	69517	 	2006-02-15 04:45:30
243	47 Syktyvkar Lane	\N	 	118	22236	 	2006-02-15 04:45:30
319	1957 Yantai Lane	\N	 	490	59255	 	2006-02-15 04:45:30
410	88 Nagaon Manor	\N	 	524	86868	 	2006-02-15 04:45:30
409	1266 Laredo Parkway	\N	 	380	7664	 	2006-02-15 04:45:30
539	1332 Gaziantep Lane	\N	 	80	22813	 	2006-02-15 04:45:30
437	1766 Almirante Brown Street	\N	 	364	63104	 	2006-02-15 04:45:30
239	98 Stara Zagora Boulevard	\N	 	96	76448	 	2006-02-15 04:45:30
392	514 Ife Way	\N	 	315	69973	 	2006-02-15 04:45:30
322	1359 Zhoushan Parkway	\N	 	545	29763	 	2006-02-15 04:45:30
142	1587 Sullana Lane	\N	 	207	85769	 	2006-02-15 04:45:30
590	247 Jining Parkway	\N	 	54	53446	 	2006-02-15 04:45:30
1	47 MySakila Drive	\N	 	300	\N	 	2006-02-15 04:45:30
444	231 Kaliningrad Place	\N	 	70	57833	 	2006-02-15 04:45:30
335	587 Benguela Manor	\N	 	42	91590	 	2006-02-15 04:45:30
465	734 Tanshui Avenue	\N	 	170	70664	 	2006-02-15 04:45:30
435	740 Udaipur Lane	\N	 	150	33505	 	2006-02-15 04:45:30
348	785 Vaduz Street	\N	 	335	36170	 	2006-02-15 04:45:30
517	548 Uruapan Street	\N	 	312	35653	 	2006-02-15 04:45:30
285	1006 Santa Brbara dOeste Manor	\N	 	389	36229	 	2006-02-15 04:45:30
226	810 Palghat (Palakkad) Boulevard	\N	 	235	73431	 	2006-02-15 04:45:30
321	651 Pathankot Loop	\N	 	336	59811	 	2006-02-15 04:45:30
320	1542 Lubumbashi Boulevard	\N	 	57	62472	 	2006-02-15 04:45:30
483	632 Usolje-Sibirskoje Parkway	\N	 	36	73085	 	2006-02-15 04:45:30
552	390 Wroclaw Way	\N	 	462	5753	 	2006-02-15 04:45:30
500	362 Rajkot Lane	\N	 	47	98030	 	2006-02-15 04:45:30
339	503 Sogamoso Loop	\N	 	505	49812	 	2006-02-15 04:45:30
398	954 Lapu-Lapu Way	\N	 	278	8816	 	2006-02-15 04:45:30
438	596 Huixquilucan Place	\N	 	351	65892	 	2006-02-15 04:45:30
140	788 Atinsk Street	\N	 	211	81691	 	2006-02-15 04:45:30
98	152 Kitwe Parkway	\N	 	82	53182	 	2006-02-15 04:45:30
102	669 Firozabad Loop	\N	 	12	92265	 	2006-02-15 04:45:30
419	397 Sunnyvale Avenue	\N	 	19	55566	 	2006-02-15 04:45:30
49	1718 Valencia Street	\N	 	27	37359	 	2006-02-15 04:45:30
336	430 Kumbakonam Drive	\N	 	457	28814	 	2006-02-15 04:45:30
232	754 Valencia Place	\N	 	406	87911	 	2006-02-15 04:45:30
11	900 Santiago de Compostela Parkway	\N	 	280	93896	 	2006-02-15 04:45:30
555	1764 Jalib al-Shuyukh Parkway	\N	 	459	77642	 	2006-02-15 04:45:30
429	1269 Botosani Manor	\N	 	468	47394	 	2006-02-15 04:45:30
510	48 Maracabo Place	\N	 	519	1570	 	2006-02-15 04:45:30
233	356 Olomouc Manor	\N	 	26	93323	 	2006-02-15 04:45:30
